product_id,product_name,description,category,subcategory,brand,price,cost,weight_kg,dimensions_cm,color,material,stock_quantity,is_active,created_date,last_updated,supplier_id,rating_avg,review_count
8422dcb8-bfec-4842-962e-7e1c3f1967ad,User-centric client-server installation Jeans,"Every still fire just similar there movement. Husband camera political hard.
Especially partner stage prevent. Consumer course crime. Have discover girl argue deal prove usually.",Clothing,Jeans,"Kennedy, Burns and King",138.1,87.82,7.49,48x15x65,Black,Fabric,408,TRUE,2025-06-17,2025-08-03,f2cd5a20-75dd-475e-843b-f4632fd20706,2.59,444
4b1b74ad-a7a2-4c13-a656-b9a00d77bc72,Re-contextualized human-resource firmware Furniture,Almost interview southern any across. Mother memory career fear its whether public. South sort market order size spring. Goal prepare face source again beyond building.,Home & Kitchen,Furniture,"Dickerson, Olsen and Thomas",245.65,112.86,19.83,78x30x76,Blue,Metal,73,TRUE,2025-04-21,2025-08-02,4034f9cd-89e4-4f31-bb58-b4b4569c475e,2.72,701
ecb6278a-763c-4c62-8cd9-e94f5ac92716,Persistent 4thgeneration intranet T-Shirts,However carry protect throughout. Religious father buy hour. Design he power discuss.,Clothing,T-Shirts,"Hunter, Wilson and West",206.45,108.81,17.48,46x49x81,Black,Ceramic,312,TRUE,2024-11-01,2025-07-26,ac0aedae-8011-4956-a164-7bc07d1768ce,2.4,841
83dae9d6-39aa-4649-97b6-b6b39720e484,Proactive tertiary forecast Electronics,"Role more car certain radio total. Degree whole hour program.
Hold left truth establish air program without. Rock hope professional between clear.",Automotive,Electronics,"Meza, Ramos and Velazquez",129.47,53.53,40.93,30x92x52,Red,Ceramic,745,TRUE,2025-01-29,2025-08-13,fc2d63dd-5b80-4dcc-9d15-9b3badacab0b,1.45,55
08dcff0b-5e8b-4503-9d49-dcf364c68252,Polarized encompassing contingency Comics,Decision recognize describe sell star yes lead rule. Resource mind democratic industry.,Books,Comics,"Lee, Hawkins and Walker",46.7,30.85,41.02,6x48x93,White,Wood,460,TRUE,2025-05-04,2025-08-17,5312138d-d86f-4edb-b874-a16414fb51b4,2.33,757
29b2c823-ac14-4c83-84b9-0534c59c9696,Multi-lateral actuating leverage Non-Fiction,"Subject level sure toward black. Partner writer threat every. Score military appear without. Range law treatment health.
Change name adult parent line common night.",Books,Non-Fiction,Fuentes PLC,29.59,18.5,27.49,84x98x23,Black,Glass,596,TRUE,2025-03-11,2025-08-16,c3df2e68-706c-4995-8d75-2eeb9034e58f,3.11,261
9fd31ad7-d0ee-4599-94ae-c14d30f3d9b6,Centralized intermediate ability Cookware,Voice let activity western safe. Water usually another message. Institution power middle sit foot radio full. Onto offer best.,Home & Kitchen,Cookware,Curtis LLC,149.17,94.98,30.94,11x64x88,Black,Plastic,397,TRUE,2025-06-12,2025-08-05,d4821af8-3863-40a5-9401-f6c455e80ae1,3.65,934
b0ca44cc-4eff-474d-be77-55d55ebaf5c1,Balanced systemic solution Skincare,Certainly main history production upon painting. Teach toward blood six TV.,Beauty & Personal Care,Skincare,"Riley, Medina and Orozco",7.77,5.13,32.51,34x53x70,White,Wood,496,TRUE,2024-11-11,2025-08-12,1ff48e29-5e08-44d2-8beb-8dc3fa3bc4f1,3.13,190
7be3f878-e9b0-42eb-8f00-531c97699d48,Phased actuating archive Comics,"Offer these body scientist ground. Miss chair throw word worry just address key.
Lot operation home. Soon study health skill.
Tonight total cause anyone wife since. Property we city well white.",Books,Comics,Rowe-James,48.51,27.56,35.65,10x36x72,Green,Wood,501,TRUE,2024-08-21,2025-08-18,0e5f03bc-d2c2-4ff8-b5ce-d40df0c0ddc2,1.63,355
99230cd6-5774-4b2b-adcb-04fbd488265d,Quality-focused zero tolerance success Hair Care,"True specific defense president animal west.
Top environmental start wish start.
Pressure by middle its view environment. Your kitchen result kid whole say soon international. Material voice between.",Beauty & Personal Care,Hair Care,Gonzalez-Castro,95.66,45.04,48.91,69x40x12,Green,Glass,911,FALSE,2024-09-20,2025-08-08,29606c93-ec16-47b4-9953-13964f86a5e1,4.96,966
